question_id,original_answer,final_answer,official_answer_status,official_notice_url
113-1301-066,D,D,official_standard,
113-1301-067,B,B,official_standard,
113-1301-068,A,A,official_standard,
113-1301-069,B,B,official_standard,
113-1301-070,C,C,official_standard,
113-1301-071,A,A,official_standard,
113-1301-072,A,A,official_standard,
113-1301-073,B,B,official_standard,
113-1301-074,C,C,official_standard,
113-1301-075,A,A,official_standard,
114-2301-001,A,A,official_standard,
114-2301-002,D,D,official_standard,
114-2301-003,B,B,official_standard,
114-2301-004,D,D,official_standard,
114-2301-005,A,A,official_standard,
114-2301-006,D,D,official_standard,
114-2301-007,A,A,official_standard,
114-2301-008,D,D,official_standard,
114-2301-009,A,A,official_standard,
114-2301-010,B,B,official_standard,
114-2301-011,A,A,official_standard,
114-2301-012,D,D,official_standard,
114-2301-013,B,B,official_standard,
114-2301-014,D,D,official_standard,
114-2301-015,A,A,official_standard,
114-2301-016,D,D,official_standard,
114-2301-017,B,B,official_standard,
114-2301-018,D,D,official_standard,
114-2301-019,D,D,official_standard,
114-2301-020,C,C,official_standard,
114-2301-021,A,A,official_standard,
114-2301-022,D,D,official_standard,
114-2301-023,B,B,official_standard,
114-2301-024,D,D,official_standard,
114-2301-025,C,C,official_standard,
114-2301-026,C,C,official_standard,
114-2301-027,D,D,official_standard,
114-2301-028,B,B,official_standard,
114-2301-029,D,D,official_standard,
114-2301-030,B,B,official_standard,
114-2301-031,C,C,official_standard,
114-2301-032,D,D,official_standard,
114-2301-033,C,C,official_standard,
114-2301-034,D,D,official_standard,
114-2301-035,A,A,official_standard,
114-2301-036,B,B,official_standard,
114-2301-037,D,D,official_standard,
114-2301-038,A,A,official_standard,
114-2301-039,B,B,official_standard,
114-2301-040,C,C,official_standard,
114-2301-041,B,B,official_standard,
114-2301-042,C,C,official_standard,
114-2301-043,D,D,official_standard,
114-2301-044,A,A,official_standard,
114-2301-045,C,C,official_standard,
114-2301-046,D,D,official_standard,
114-2301-047,A,A,official_standard,
114-2301-048,D,D,official_standard,
114-2301-049,C,C,official_standard,
114-2301-050,C,C,official_standard,
114-2301-051,D,D,official_standard,
114-2301-052,A,A,official_standard,
114-2301-053,D,D,official_standard,
114-2301-054,C,C,official_standard,
114-2301-055,D,D,official_standard,
114-2301-056,A,A,official_standard,
114-2301-057,D,D,official_standard,
114-2301-058,D,D,official_standard,
114-2301-059,C,C,official_standard,
114-2301-060,D,D,official_standard,
114-2301-061,C,C,official_standard,
114-2301-062,A,A,official_standard,
114-2301-063,C,C,official_standard,
114-2301-064,D,D,official_standard,
114-2301-065,C,C,official_standard,
114-2301-066,A,A,official_standard,
114-2301-067,C,C,official_standard,
114-2301-068,C,C,official_standard,
114-2301-069,A,A,official_standard,
114-2301-070,C,C,official_standard,
114-2301-071,B,B,official_standard,
114-2301-072,C,C,official_standard,
114-2301-073,D,D,official_standard,
114-2301-074,C,C,official_standard,
114-2301-075,C,C,official_standard,
114-3301-001,C,C,official_standard,
114-3301-002,D,D,official_standard,
114-3301-003,C,C,official_standard,
114-3301-004,D,D,official_standard,
114-3301-005,D,D,official_standard,
114-3301-006,B,B,official_standard,
114-3301-007,D,D,official_standard,
114-3301-008,B,B,official_standard,
114-3301-009,C,C,official_standard,
114-3301-010,B,B,official_standard,
114-3301-011,C,C,official_standard,
114-3301-012,B,B,official_standard,
114-3301-013,C,C,official_standard,
114-3301-014,D,D,official_standard,
114-3301-015,C,C,official_standard,
114-3301-016,B,B,official_standard,
114-3301-017,D,D,official_standard,
114-3301-018,A,A,official_standard,
114-3301-019,B,B,official_standard,
114-3301-020,D,D,official_standard,
114-3301-021,D,D,official_standard,
114-3301-022,A,A,official_standard,
114-3301-023,D,D,official_standard,
114-3301-024,B,B,official_standard,
114-3301-025,A,A,official_standard,
114-3301-026,C,C,official_standard,
114-3301-027,C,C,official_standard,
114-3301-028,A,A,official_standard,
114-3301-029,C,C,official_standard,
114-3301-030,B,B,official_standard,
114-3301-031,C,C,official_standard,
114-3301-032,A,A,official_standard,
114-3301-033,B,B,official_standard,
114-3301-034,A,A,official_standard,
114-3301-035,B,B,official_standard,
114-3301-036,A,A,official_standard,
114-3301-037,C,C,official_standard,
114-3301-038,A,A,official_standard,
114-3301-039,C,C,official_standard,
114-3301-040,A,A,official_standard,
114-3301-041,B,B,official_standard,
114-3301-042,C,C,official_standard,
114-3301-043,B,B,official_standard,
114-3301-044,C,C,official_standard,
114-3301-045,B,B,official_standard,
114-3301-046,D,D,official_standard,
114-3301-047,A,A,official_standard,
114-3301-048,B,B,official_standard,
114-3301-049,D,D,official_standard,
114-3301-050,A,A,official_standard,
114-3301-051,A,A,official_standard,
114-3301-052,C,C,official_standard,
114-3301-053,D,D,official_standard,
114-3301-054,B,B,official_standard,
114-3301-055,B,B,official_standard,
114-3301-056,D,D,official_standard,
114-3301-057,C,C,official_standard,
114-3301-058,B,B,official_standard,
114-3301-059,D,D,official_standard,
114-3301-060,B,B,official_standard,
114-3301-061,D,D,official_standard,
114-3301-062,C,C,official_standard,
114-3301-063,D,D,official_standard,
114-3301-064,B,B,official_standard,
114-3301-065,D,D,official_standard,
114-3301-066,B,B,official_standard,
114-3301-067,D,D,official_standard,
114-3301-068,B,B,official_standard,
114-3301-069,D,D,official_standard,
114-3301-070,A,A,official_standard,
114-3301-071,D,D,official_standard,
114-3301-072,A,A,official_standard,
114-3301-073,D,D,official_standard,
114-3301-074,C,C,official_standard,
114-3301-075,A,A,official_standard,
114-3301-076,C,C,official_standard,
114-3301-077,B,B,official_standard,
114-3301-078,C,C,official_standard,
114-3301-079,B,B,official_standard,
114-3301-080,A,A,official_standard,
114-4301-001,C,C,official_standard,
114-4301-002,B,B,official_standard,
114-4301-003,A,A,official_standard,
114-4301-004,C,C,official_standard,
114-4301-005,A,A,official_standard,
114-4301-006,C,C,official_standard,
114-4301-007,A,A,official_standard,
114-4301-008,B,B,official_standard,
114-4301-009,B,B,official_standard,
114-4301-010,A,A,official_standard,
114-4301-011,C,C,official_standard,
114-4301-012,B,B,official_standard,
114-4301-013,D,D,official_standard,
114-4301-014,B,B,official_standard,
114-4301-015,D,D,official_standard,
114-4301-016,B,B,official_standard,
114-4301-017,D,D,official_standard,
114-4301-018,B,B,official_standard,
114-4301-019,C,C,official_standard,
114-4301-020,A,A,official_standard,
114-4301-021,D,D,official_standard,
114-4301-022,B,B,official_standard,
114-4301-023,D,D,official_standard,
114-4301-024,A,A,official_standard,
114-4301-025,D,D,official_standard,
114-4301-026,C,C,official_standard,
114-4301-027,D,D,official_standard,
114-4301-028,C,C,official_standard,
114-4301-029,A,A,official_standard,
114-4301-030,C,C,official_standard,
114-4301-031,B,B,official_standard,
114-4301-032,C,C,official_standard,
114-4301-033,D,D,official_standard,
114-4301-034,D,D,official_standard,
114-4301-035,C,C,official_standard,
114-4301-036,A,A,official_standard,
114-4301-037,B,B,official_standard,
114-4301-038,A,A,official_standard,
114-4301-039,C,C,official_standard,
114-4301-040,C,C,official_standard,
114-4301-041,B,B,official_standard,
114-4301-042,B,B,official_standard,
114-4301-043,C,C,official_standard,
114-4301-044,B,B,official_standard,
114-4301-045,D,D,official_standard,
114-4301-046,C,C,official_standard,
114-4301-047,B,B,official_standard,
114-4301-048,D,D,official_standard,
114-4301-049,A,A,official_standard,
114-4301-050,D,D,official_standard,
114-4301-051,B,B,official_standard,
114-4301-052,A,A,official_standard,
114-4301-053,C,C,official_standard,
114-4301-054,D,D,official_standard,
114-4301-055,C,C,official_standard,
114-4301-056,A,A,official_standard,
114-4301-057,B,B,official_standard,
114-4301-058,B,B,official_standard,
114-4301-059,C,C,official_standard,
114-4301-060,A,A,official_standard,
114-4301-061,B,B,official_standard,
114-4301-062,A,A,official_standard,
114-4301-063,A,A,official_standard,
114-4301-064,D,D,official_standard,
114-4301-065,B,B,official_standard,
114-4301-066,D,D,official_standard,
114-4301-067,C,C,official_standard,
114-4301-068,A,A,official_standard,
114-4301-069,A,A,official_standard,
114-4301-070,C,C,official_standard,
114-1301-001,B,B,official_standard,
114-1301-002,C,C,official_standard,
114-1301-003,A,A,official_standard,
114-1301-004,C,C,official_standard,
114-1301-005,D,D,official_standard,
114-1301-006,D,D,official_standard,
114-1301-007,A,A,official_standard,
114-1301-008,D,D,official_standard,
114-1301-009,B,B,official_standard,
114-1301-010,C,C,official_standard,
114-1301-011,B,B,official_standard,
114-1301-012,A,A,official_standard,
114-1301-013,D,D,official_standard,
114-1301-014,B,B,official_standard,
114-1301-015,A,A,official_standard,
114-1301-016,B,B,official_standard,
114-1301-017,A,A,official_standard,
114-1301-018,B,B,official_standard,
114-1301-019,D,D,official_standard,
114-1301-020,C,C,official_standard,
114-1301-021,D,D,official_standard,
114-1301-022,B,B,official_standard,
114-1301-023,D,D,official_standard,
114-1301-024,A,A,official_standard,
114-1301-025,C,C,official_standard,
114-1301-026,D,D,official_standard,
114-1301-027,B,B,official_standard,
114-1301-028,A,A,official_standard,
114-1301-029,C,C,official_standard,
114-1301-030,B,B,official_standard,
114-1301-031,C,C,official_standard,
114-1301-032,B,B,official_standard,
114-1301-033,C,C,official_standard,
114-1301-034,A,A,official_standard,
114-1301-035,C,C,official_standard,
114-1301-036,C,C,official_standard,
114-1301-037,D,D,official_standard,
114-1301-038,A,A,official_standard,
114-1301-039,C,C,official_standard,
114-1301-040,D,D,official_standard,
114-1301-041,B,B,official_standard,
114-1301-042,A,A,official_standard,
114-1301-043,B,B,official_standard,
114-1301-044,D,D,official_standard,
114-1301-045,C,C,official_standard,
114-1301-046,B,B,official_standard,
114-1301-047,D,D,official_standard,
114-1301-048,B,B,official_standard,
114-1301-049,D,D,official_standard,
114-1301-050,A,A,official_standard,
114-1301-051,D,D,official_standard,
114-1301-052,B,B,official_standard,
114-1301-053,A,A,official_standard,
114-1301-054,B,B,official_standard,
114-1301-055,D,D,official_standard,
114-1301-056,B,B,official_standard,
114-1301-057,D,D,official_standard,
114-1301-058,C,C,official_standard,
114-1301-059,D,D,official_standard,
114-1301-060,B,B,official_standard,
114-1301-061,D,D,official_standard,
114-1301-062,B,B,official_standard,
114-1301-063,D,D,official_standard,
114-1301-064,B,B,official_standard,
114-1301-065,D,D,official_standard,
114-1301-066,A,A,official_standard,
114-1301-067,D,D,official_standard,
114-1301-068,C,C,official_standard,
114-1301-069,B,B,official_standard,
114-1301-070,A,A,official_standard,
114-1301-071,C,C,official_standard,
114-1301-072,D,D,official_standard,
114-1301-073,B,B,official_standard,
114-1301-074,A,A,official_standard,
114-1301-075,B,B,official_standard,
